scheduler,num_queries,num_candidates,num_materializations,duration
legacy,1,76,null,5.584322929382324
legacy,10,627,null,43.59274911880493
legacy,20,1092,null,75.99530982971191
legacy,50,2630,null,197.83061003684998
legacy,100,5371,null,370.13358426094055
legacy,200,11032,null,711.7230331897736
legacy,500,39215,null,2136.5683777332306
legacy,1000,67814,null,3804.593982934952
new,1,45322,3243,238.468914270401
new,10,627,685,40.943479776382446
new,20,1092,1101,74.47963523864746
new,50,2630,2314,183.49356698989868
new,100,5371,4125,307.40736842155457
new,200,11032,6461,503.38948130607605
new,500,39215,20297,925.2073962688446
new,1000,67814,22805,1182.4369177818298
